,Time,xPos,yPos
0,0.016144275665283203,0,0
1,0.03164076805114746,0,0
2,0.05203652381896973,0,0
3,0.06754827499389648,0,0
4,0.0837411880493164,0,0
5,0.09989738464355469,0,0
6,0.1163339614868164,0,0
7,0.1319735050201416,0,0
8,0.14813709259033203,0,0
9,0.16448330879211426,0,0
10,0.18079090118408203,0,0
11,0.19708824157714844,0,0
12,0.21332693099975586,0,0
13,0.2292790412902832,0,0
14,0.25983643531799316,0,0
15,0.2764623165130615,0,0
16,0.29276371002197266,0,0
17,0.30904579162597656,0,0
18,0.3245699405670166,0,0
19,0.3409919738769531,0,0
20,0.356950044631958,0,0
21,0.3728513717651367,0,0
22,0.3889157772064209,0,0
23,0.4053492546081543,0,0
24,0.42045044898986816,0,0
25,0.43668437004089355,0,0
26,0.4528505802154541,0,0
27,0.4693782329559326,0,0
28,0.4849395751953125,0,0
29,0.5014944076538086,0,0
30,0.5179219245910645,0,0
31,0.5343189239501953,0,0
32,0.5496549606323242,0,0
33,0.5661165714263916,0,0
34,0.5824499130249023,0,0
35,0.5987906455993652,0,0
36,0.6154718399047852,0,0
37,0.6321995258331299,0,0
38,0.6479566097259521,0,0
39,0.6640815734863281,0,0
40,0.6804745197296143,0,0
41,0.6965978145599365,0,0
42,0.7126209735870361,0,0
43,0.7286434173583984,0,0
44,0.7450077533721924,0,0
45,0.7606143951416016,0,0
46,0.7766485214233398,0,0
47,0.79313063621521,0,0
48,0.8093776702880859,0,0
49,0.8249776363372803,0,0
50,0.8406925201416016,0,0
51,0.857140064239502,0,0
52,0.8726344108581543,0,0
53,0.889143705368042,0,0
54,0.9053764343261719,0,0
55,0.9209916591644287,0,0
56,0.9366869926452637,0,0
57,0.9533290863037109,0,0
58,0.9688074588775635,0,0
59,0.9853909015655518,0,0
60,1.0005879402160645,0,0
61,1.016507625579834,0,0
62,1.0330803394317627,0,0
63,1.0486629009246826,0,0
64,1.0652520656585693,0,0
65,1.080503225326538,0,0
66,1.0967376232147217,0,0
67,1.1128411293029785,0,0
68,1.129441261291504,0,0
69,1.1457879543304443,0,0
70,1.1623561382293701,0,0
71,1.1777617931365967,0,0
72,1.1940968036651611,0,0
73,1.2095353603363037,0,0
74,1.2261888980865479,0,0
75,1.2418508529663086,0,0
76,1.2584028244018555,0,0
77,1.2749552726745605,0,0
78,1.2912206649780273,0,0
79,1.3072562217712402,0,0
80,1.3230035305023193,0,0
81,1.3391127586364746,0,0
82,1.355297327041626,0,0
83,1.371347188949585,0,0
84,1.3869540691375732,0,0
85,1.4025206565856934,0,0
86,1.4191551208496094,0,0
87,1.43473482131958,0,0
88,1.4513959884643555,0,0
89,1.4680237770080566,0,0
90,1.4836533069610596,0,0
91,1.5002319812774658,0,0
92,1.5160481929779053,0,0
93,1.531564712524414,0,0
94,1.5481505393981934,0,0
95,1.5637948513031006,0,0
96,1.5803306102752686,0,0
97,1.5963468551635742,0,0
